Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLMTC02000,MILES CITY FIELD OFFICE,2502347,07/20/2009,02/28/2019,,00391,TWITCHELL RANCH AMP,87,CATTLE,4/1/2010,11/30/2010,ACTIVE,100,698
LLMTC02000,MILES CITY FIELD OFFICE,2502347,07/20/2009,02/28/2019,,00391,TWITCHELL RANCH AMP,27,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,324
LLMTC02000,MILES CITY FIELD OFFICE,2502347,07/20/2009,02/28/2019,,00391,TWITCHELL RANCH AMP,4,HORSE,3/1/2010,2/28/2011,CUSTODIAL,100,59
LLMTC02000,MILES CITY FIELD OFFICE,2502348,03/01/2008,02/28/2018,,00393,UTHAUG INDIVIDUAL,18,CATTLE,3/1/2006,2/28/2007,CUSTODIAL,100,214
LLMTC02000,MILES CITY FIELD OFFICE,2502348,03/01/2008,02/28/2018,,00393,UTHAUG INDIVIDUAL,7,CATTLE,3/1/2006,2/28/2007,ACTIVE,100,84
LLMTC02000,MILES CITY FIELD OFFICE,2502350,03/01/2009,02/28/2019,,01657,SOUTH PASTURE,73,CATTLE,5/1/2000,1/29/2001,ACTIVE,100,658
LLMTC02000,MILES CITY FIELD OFFICE,2502351,03/01/2014,02/28/2024,,00396,VOORHEES ALLOTMENT,16,CATTLE,3/1/2013,2/28/2014,CUSTODIAL,100,98
LLMTC02000,MILES CITY FIELD OFFICE,2502351,03/01/2014,02/28/2024,,00396,VOORHEES ALLOTMENT,9,CATTLE,5/1/2013,11/4/2013,ACTIVE,100,56
LLMTC02000,MILES CITY FIELD OFFICE,2502352,03/01/2008,02/28/2018,,00397,GLENN'S PLACE,23,CATTLE,5/21/1999,11/7/1999,ACTIVE,100,129
LLMTC02000,MILES CITY FIELD OFFICE,2502353,03/01/2009,02/28/2019,,00398,WALLER,17,CATTLE,5/1/2000,11/2/2000,ACTIVE,100,104
LLMTC02000,MILES CITY FIELD OFFICE,2502355,03/01/2013,02/28/2023,,00389,PRESERVATION ALLOTMENT,140,CATTLE,5/1/2013,11/1/2013,ACTIVE,91,775
LLMTC02000,MILES CITY FIELD OFFICE,2502355,03/01/2013,02/28/2023,,00389,PRESERVATION ALLOTMENT,10,CATTLE,3/1/2013,2/28/2014,CUSTODIAL,100,113
LLMTC02000,MILES CITY FIELD OFFICE,2502355,03/01/2013,02/28/2023,,00405,WALKING CANES ALLOTMENT,22,CATTLE,3/1/2013,2/28/2014,CUSTODIAL,100,261
LLMTC02000,MILES CITY FIELD OFFICE,2502356,03/01/2014,02/28/2024,,00792,SAGE HEN,71,CATTLE,3/1/2013,2/28/2014,CUSTODIAL,100,847
LLMTC02000,MILES CITY FIELD OFFICE,2502357,03/01/2015,11/30/2017,,00479,BRANCH CREEK,1,CATTLE,3/1/2015,2/28/2016,CUSTODIAL,100,4
LLMTC02000,MILES CITY FIELD OFFICE,2502357,03/01/2015,11/30/2017,,00479,BRANCH CREEK,2,CATTLE,3/1/2015,2/28/2016,CUSTODIAL,100,28
LLMTC02000,MILES CITY FIELD OFFICE,2502357,03/01/2015,11/30/2017,,00479,BRANCH CREEK,37,CATTLE,6/1/2015,10/1/2015,ACTIVE,87,130
LLMTC02000,MILES CITY FIELD OFFICE,2502357,03/01/2015,11/30/2017,,00479,BRANCH CREEK,1,CATTLE,3/1/2015,2/28/2016,CUSTODIAL,100,6
LLMTC02000,MILES CITY FIELD OFFICE,2502358,03/01/2007,02/28/2017,,00407,WATSON,15,CATTLE,3/1/2016,2/28/2017,CUSTODIAL,100,183
LLMTC02000,MILES CITY FIELD OFFICE,2502359,03/01/2008,02/28/2018,,00252,WATT ALLOTMENT,67,CATTLE,5/16/1999,11/13/1999,ACTIVE,28,112
LLMTC02000,MILES CITY FIELD OFFICE,2502359,03/01/2008,02/28/2018,,00252,WATT ALLOTMENT,12,SHEEP,5/1/1999,11/3/1999,ACTIVE,100,15
LLMTC02000,MILES CITY FIELD OFFICE,2502360,01/29/2013,02/01/2017,,00409,W BAR N,139,CATTLE,3/1/2016,4/25/2016,ACTIVE,43,110
LLMTC02000,MILES CITY FIELD OFFICE,2502360,01/29/2013,02/01/2017,,00409,W BAR N,115,CATTLE,10/16/2016,2/28/2017,ACTIVE,43,221
LLMTC02000,MILES CITY FIELD OFFICE,2502360,01/29/2013,02/01/2017,,00409,W BAR N,276,CATTLE,4/25/2016,10/15/2016,ACTIVE,26,411
LLMTC02000,MILES CITY FIELD OFFICE,2502361,03/01/2008,02/28/2018,,00410,WEEDING HOME PLACE,2,CATTLE,3/1/2008,2/28/2009,ACTIVE,100,24
LLMTC02000,MILES CITY FIELD OFFICE,2502362,04/01/2015,03/31/2018,,00290,OFSTEDAL ALLOTMENT,86,CATTLE,5/1/2015,10/14/2015,ACTIVE,47,222
LLMTC02000,MILES CITY FIELD OFFICE,2502363,03/01/2009,02/28/2019,,00411,WEEDING RANCH,9,CATTLE,3/1/2001,2/28/2002,CUSTODIAL,100,102
LLMTC02000,MILES CITY FIELD OFFICE,2502364,03/01/2010,02/28/2020,,00412,DON WEST UNIT,1,CATTLE,3/1/2011,2/28/2012,CUSTODIAL,100,9
LLMTC02000,MILES CITY FIELD OFFICE,2502365,03/01/2009,02/28/2019,,01413,WEYERBACHER,3,CATTLE,3/1/2000,2/28/2001,ACTIVE,100,36
LLMTC02000,MILES CITY FIELD OFFICE,2502366,03/01/2008,02/28/2018,,00414,WHEATCROFT,2,CATTLE,5/1/1999,10/31/1999,CUSTODIAL,100,11
LLMTC02000,MILES CITY FIELD OFFICE,2502367,03/01/2012,03/01/2016,,00415,WHEELER UNIT,13,CATTLE,3/1/2016,2/28/2017,CUSTODIAL,100,152
LLMTC02000,MILES CITY FIELD OFFICE,2502368,03/01/2009,02/28/2019,,00416,WHITE,18,CATTLE,3/1/2000,2/28/2001,ACTIVE,100,216
LLMTC02000,MILES CITY FIELD OFFICE,2502369,03/01/2009,02/28/2019,,00794,SOUTH ALLOTMENT,4,CATTLE,3/1/2009,2/28/2010,CUSTODIAL,100,48
LLMTC02000,MILES CITY FIELD OFFICE,2502369,03/01/2009,02/28/2019,,00794,SOUTH ALLOTMENT,20,SHEEP,3/1/2009,2/28/2010,CUSTODIAL,100,48
LLMTC02000,MILES CITY FIELD OFFICE,2502370,03/01/2008,02/28/2018,,00418,WHITMUS,9,CATTLE,5/1/2008,11/7/2008,ACTIVE,100,57
