Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
CO,LLCOF02000,ROYAL GORGE FO,02838,REED GULCH,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02839,DRY CREEK,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02850,SOUTH GARDNER PARCEL 3,Y,,200,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02851,SOUTH GARDNER SCATTERED PARCELS,Y,,640,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02852,SOUTH GARDNER PARCEL 2,Y,,640,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02853,SOUTH GARDNER PARCEL 1,Y,,"1,480",,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02923,WEST HIGH CREEK,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,03194,HAYDEN RANCH,Y,,"1,410",AMP/CMP IMPLEMENTED,05/11/2009,IMPROVE CATEGORY,0503694,472,0,255
CO,LLCOF02000,ROYAL GORGE FO,03216,RED CANYON,Y,,"1,250",,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,03228,LOUIS GULCH,Y,,334,,,CUSTODIAL CATEGORY,0505473,17,0,0
CO,LLCOF02000,ROYAL GORGE FO,03496,HIGH PARK - LH,Y,,"4,228",AMP IMPLEMENTED,01/01/1983,IMPROVE CATEGORY,0505318,684,0,0
CO,LLCOF02000,ROYAL GORGE FO,03507,FIVE POINTS GULCH,Y,,"5,240",AMP IMPLEMENTED,01/31/1983,IMPROVE CATEGORY,0505332,158,0,0
CO,LLCOF02000,ROYAL GORGE FO,03508,TEXAS CREEK,Y,,"12,252",AMP IMPLEMENTED,01/30/1983,IMPROVE CATEGORY,0505306,284,0,0
CO,LLCOF02000,ROYAL GORGE FO,03509,SOUTH TEXAS CREEK,Y,,"3,440",AMP IMPLEMENTED,01/31/1983,IMPROVE CATEGORY,0503695,347,0,0
CO,LLCOF02000,ROYAL GORGE FO,03589,CANON RIDGE,Y,,322,,,CUSTODIAL CATEGORY,0504380,13,0,0
CO,LLCOF02000,ROYAL GORGE FO,03596,FOURMILE CREEK SOUTH,Y,,490,,,CUSTODIAL CATEGORY,0504370,57,0,0
CO,LLCOF02000,ROYAL GORGE FO,03684,NORTH 40,Y,,40,AMP PROPOSED,,CUSTODIAL CATEGORY,0505486,12,0,0
CO,LLCOF02000,ROYAL GORGE FO,03704,EAST ST. JUDE,Y,,"1,193",,,CUSTODIAL CATEGORY,0504572,6,25,0
CO,LLCOF02000,ROYAL GORGE FO,03705,NORTH HONDO,Y,,763,,,CUSTODIAL CATEGORY,0504567,78,0,0
CO,LLCOF02000,ROYAL GORGE FO,03773,EAST BALD HILL,Y,,"1,664",AMP IMPLEMENTED,02/05/1997,MAINTAIN CATEGORY,0504979,176,0,0
CO,LLCOF02000,ROYAL GORGE FO,03821,SOUTH HONDO,Y,,404,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,03893,MOSCA,Y,,560,,,CUSTODIAL CATEGORY,0504770,55,196,0
CO,LLCOF02000,ROYAL GORGE FO,03894,COTTONSACK,Y,,"1,200",,,CUSTODIAL CATEGORY,0504771,33,117,0
CO,LLCOF02000,ROYAL GORGE FO,03895,DEER CREEK 2,Y,,320,,,CUSTODIAL CATEGORY,0504769,18,62,0
CO,LLCOF02000,ROYAL GORGE FO,03896,MULLIGAN,Y,,"2,680",,,CUSTODIAL CATEGORY,0504772,32,115,0
CO,LLCOF02000,ROYAL GORGE FO,03897,RED WING 2,Y,,40,,,CUSTODIAL CATEGORY,0504899,2,0,0
CO,LLCOF02000,ROYAL GORGE FO,03954,HARLIN DITCH SOUTH,Y,,80,,,CUSTODIAL CATEGORY,0504869,8,0,0
CO,LLCOF02000,ROYAL GORGE FO,03980,MEXICAN RIDGE SOUTH,Y,,168,,,CUSTODIAL CATEGORY,0504967,17,0,0
CO,LLCOF02000,ROYAL GORGE FO,04630,MODEL RESERVOIR,Y,,503,,,CUSTODIAL CATEGORY,0505754,26,0,0
CO,LLCOF02000,ROYAL GORGE FO,05006,KERR GULCH COMMON,Y,,"5,754",AMP IMPLEMENTED,04/29/1997,IMPROVE CATEGORY,0503893,200,66,0
CO,LLCOF02000,ROYAL GORGE FO,05019,SOUTH BEAVER SCHOOL,Y,,418,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05035,CURRANT CREEK EAST,Y,,"1,040",,,CUSTODIAL CATEGORY,0500104,20,0,0
CO,LLCOF02000,ROYAL GORGE FO,05037,DELILAH PEAK,Y,,531,,,CUSTODIAL CATEGORY,0505399,7,0,0
CO,LLCOF02000,ROYAL GORGE FO,05042,AGATE BEDS,Y,,"1,666",AMP IMPLEMENTED,03/01/1983,IMPROVE CATEGORY,0505269,562,0,0
CO,LLCOF02000,ROYAL GORGE FO,05047,UNDERHILL,Y,,"3,516",AMP IMPLEMENTED,09/18/2001,IMPROVE CATEGORY,0505274,273,0,0
CO,LLCOF02000,ROYAL GORGE FO,05048,BULL HILL,Y,,36,,,CUSTODIAL CATEGORY,0505274,3,6,0
CO,LLCOF02000,ROYAL GORGE FO,05053,BEAR PEAK,Y,,440,,,CUSTODIAL CATEGORY,0500048,24,0,0
CO,LLCOF02000,ROYAL GORGE FO,05054,BROWN PARK,Y,,230,,,CUSTODIAL CATEGORY,0505280,12,0,0
CO,LLCOF02000,ROYAL GORGE FO,05055,TEMPLE CANYON,Y,,"6,794",AMP IMPLEMENTED,03/26/1987,IMPROVE CATEGORY,0505332,339,0,0
CO,LLCOF02000,ROYAL GORGE FO,05056,FRESH WATER CK.,Y,,89,,,CUSTODIAL CATEGORY,0505282,7,0,
