Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
ID,LLIDT02000,BURLEY FO,05028,JUNCTION CREEK,Y,,184,,,IMPROVE CATEGORY,1102351,66,204,
ID,LLIDT02000,BURLEY FO,05029,TRAIL CANYON,Y,,908,,,IMPROVE CATEGORY,1102351,30,25,
ID,LLIDT02000,BURLEY FO,05029,TRAIL CANYON,Y,,908,,,IMPROVE CATEGORY,1104942,78,32,
ID,LLIDT02000,BURLEY FO,05030,TRACY LANE,Y,,320,,,IMPROVE CATEGORY,1102352,28,22,
ID,LLIDT02000,BURLEY FO,05031,HEATH CANYON,Y,,586,,,IMPROVE CATEGORY,,,,
ID,LLIDT02000,BURLEY FO,05032,SMOKY MTN,Y,,"1,265",,,IMPROVE CATEGORY,1103491,44,50,0
ID,LLIDT02000,BURLEY FO,05033,MOULTON,Y,,383,,,IMPROVE CATEGORY,1102400,56,56,
ID,LLIDT02000,BURLEY FO,05034,STATE LINE,Y,,305,,,IMPROVE CATEGORY,1102351,14,70,
ID,LLIDT02000,BURLEY FO,05035,SPARKS BASIN,Y,,"1,919",,,IMPROVE CATEGORY,1102477,206,22,
ID,LLIDT02000,BURLEY FO,05036,JUNCTION SEEDING,Y,,"6,520",,,IMPROVE CATEGORY,1102118,52,40,
ID,LLIDT02000,BURLEY FO,05036,JUNCTION SEEDING,Y,,"6,520",,,IMPROVE CATEGORY,1102351,62,36,
ID,LLIDT02000,BURLEY FO,05036,JUNCTION SEEDING,Y,,"6,520",,,IMPROVE CATEGORY,1102352,76,55,
ID,LLIDT02000,BURLEY FO,05036,JUNCTION SEEDING,Y,,"6,520",,,IMPROVE CATEGORY,1102359,96,,
ID,LLIDT02000,BURLEY FO,05036,JUNCTION SEEDING,Y,,"6,520",,,IMPROVE CATEGORY,1102400,78,83,
