Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51010,CREOSOTE,Y,,"15,210",AMP IMPLEMENTED,03/01/1981,IMPROVE CATEGORY,0201497,936,130,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51020,MUNSON CIENEGA,Y,,"3,080",AMP IMPLEMENTED,03/01/1975,MAINTAIN CATEGORY,0200081,150,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51030,111 RANCH,Y,,"79,774",AMP IMPLEMENTED,01/01/1972,IMPROVE CATEGORY,0202095,"4,380",,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51040,CHIMNEY,Y,,"6,100",AMP IMPLEMENTED,06/01/1982,MAINTAIN CATEGORY,0202355,530,94,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51050,ASH PEAK,Y,,"12,145",AMP IMPLEMENTED,03/01/1970,IMPROVE CATEGORY,0205105,962,250,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51060,ARTESIA,Y,,"6,310",,,CUSTODIAL CATEGORY,0200077,0,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51070,STOCKTON PASS,Y,,"7,649",AMP IMPLEMENTED,05/01/1970,MAINTAIN CATEGORY,0202124,538,40,0
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51070,STOCKTON PASS,Y,,"7,649",AMP IMPLEMENTED,05/01/1970,MAINTAIN CATEGORY,0202449,"2,760",0,0
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51080,TANQUE,Y,,"66,769",AMP IMPLEMENTED,03/01/1981,IMPROVE CATEGORY,0205108,"2,079",549,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51090,VAN GAUSIG,Y,,"10,060",AMP IMPLEMENTED,03/01/1976,IMPROVE CATEGORY,0201939,612,0,0
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51100,BADGER DEN,Y,,"47,147",,,IMPROVE CATEGORY,,,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51130,SLICKROCK,Y,,"26,117",AMP IMPLEMENTED,03/01/1980,IMPROVE CATEGORY,0205113,"1,356",0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51140,FAN,Y,,"8,510",AMP IMPLEMENTED,02/01/1970,IMPROVE CATEGORY,0205114,"1,200",636,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51150,JOY VALLEY,Y,,"51,790",AMP IMPLEMENTED,07/01/1971,MAINTAIN CATEGORY,0201938,"2,918",0,0
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51160,MIDWAY CANYON,Y,,"4,910",AMP IMPLEMENTED,03/01/1975,MAINTAIN CATEGORY,0205116,387,200,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51180,MURCHISON,Y,,"49,947",AMP IMPLEMENTED,03/01/1973,MAINTAIN CATEGORY,0205118,"3,120",324,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51190,FLYING W,Y,,"3,840",,,IMPROVE CATEGORY,0205119,432,444,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51230,SALTBUSH,Y,,40,,,CUSTODIAL CATEGORY,0205183,12,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51240,SAN SIMON,Y,,530,,,CUSTODIAL CATEGORY,0205124,36,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51250,ROOSTERCOMB,Y,,"33,319",,,IMPROVE CATEGORY,0205125,"2,160",461,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51260,CAMELS BACK,Y,,620,,,CUSTODIAL CATEGORY,0205126,96,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51270,CEDAR SPRING,Y,,"1,788",AMP IMPLEMENTED,10/01/1982,MAINTAIN CATEGORY,0200022,456,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51280,SIMMONS PEAK,Y,,"3,700",,,IMPROVE CATEGORY,,,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51290,EAST CANYON,Y,,"1,650",,,IMPROVE CATEGORY,0205129,204,102,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51300,CEMENT CANYON,Y,,"4,309",,,IMPROVE CATEGORY,0205130,306,234,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51310,ROUGH MTN,Y,,"12,063",AMP IMPLEMENTED,09/25/1990,IMPROVE CATEGORY,0201755,"1,116",,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51320,HAPPY CAMP,Y,,"1,980",AMP IMPLEMENTED,04/01/1982,MAINTAIN CATEGORY,0201791,186,258,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51330,SHEEP CANYON,Y,,"4,340",AMP IMPLEMENTED,03/01/1986,IMPROVE CATEGORY,0202481,693,0,0
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51340,EMIGRANT CANYON,Y,,240,AMP IMPLEMENTED,10/01/1981,CUSTODIAL CATEGORY,0201779,12,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51350,SHOP,Y,,320,,,CUSTODIAL CATEGORY,0205135,24,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51360,OIL WELL,Y,,"2,240",CMP IMPLEMENTED,07/28/2011,CUSTODIAL CATEGORY,0201779,104,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51380,VANAR,Y,,"17,866",AMP IMPLEMENTED,09/15/1981,MAINTAIN CATEGORY,0205138,432,717,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51400,IVANHOE,Y,,"1,710",AMP IMPLEMENTED,03/01/1981,MAINTAIN CATEGORY,0205140,432,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51410,SIPHON CANYON,Y,,692,,,CUSTODIAL CATEGORY,0205141,60,96,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51420,NINE MILE,Y,,"1,570",AMP IMPLEMENTED,08/01/1981,IMPROVE CATEGORY,0205142,96,0,0
